Date,Liga,Home,Away,Odd,Prob,Metodo,Placar,Status,PnL,Origem
2026-07-01,WORLD WORLD CUP,Belgium,Senegal,15.0,94.5,XGBoost (Trader) + Random Forest (RF),3-2,GREEN,0.94,Base_Original
2026-07-02,BRAZIL 2,Cuiaba,America MG,13.5,94.5,XGBoost (Trader),1-0,GREEN,0.94,Base_Original
2026-07-03,WORLD WORLD CUP,Switzerland,Algeria,14.0,93.8,XGBoost (Trader) + Random Forest (RF),2-0,GREEN,0.94,Base_Original
2026-07-03,NORWAY 2,Raufoss,Strommen,15.0,91.6,XGBoost (Trader),1-0,GREEN,0.94,Base_Original
2026-07-03,IRELAND 1,Shelbourne,Dundalk,17.0,94.0,XGBoost (Trader) + Random Forest (RF),2-1,GREEN,0.94,Base_Original
2026-07-04,FINLAND 1,Lahti,Gnistan,14.5,93.1,XGBoost (Trader) + Random Forest (RF),1-0,GREEN,0.94,Base_Original
2026-07-04,FINLAND 1,Jaro,Ilves,13.5,91.3,XGBoost (Trader),2-1,GREEN,0.94,Base_Original
2026-07-04,NORWAY 2,Hodd,Stromsgodset,18.0,93.4,XGBoost (Trader) + Random Forest (RF),4-3,GREEN,0.94,Base_Original
2026-07-04,BRAZIL 2,Novorizontino,Atletico GO,15.5,94.3,XGBoost (Trader),3-0,GREEN,0.94,Base_Original
2026-07-05,CHINA 1,Meizhou Hakka,Changchun Yatai,15.0,92.5,XGBoost (Trader) + Random Forest (RF),1-3,GREEN,0.94,Base_Original
2026-07-06,BRAZIL 2,Botafogo SP,Avai,16.5,94.2,XGBoost (Trader),3-1,GREEN,0.94,Base_Original
2026-07-06,WORLD WORLD CUP,USA,Belgium,14.5,96.3,XGBoost (Trader) + Random Forest (RF),1-4,GREEN,0.94,Base_Original
2026-07-11,SWEDEN 1,Mjallby,AIK,17.0,94.4,XGBoost (Trader) + Random Forest (RF),1-2,GREEN,0.94,Base_Original
2026-07-11,FINLAND 1,TPS,AC Oulu,13.5,91.9,XGBoost (Trader),3-0,GREEN,0.94,Base_Original
2026-07-11,SWEDEN 1,Orgryte,Hacken,14.5,91.7,XGBoost (Trader),4-3,GREEN,0.94,Base_Original
2026-07-11,WORLD WORLD CUP,Argentina,Switzerland,17.0,95.5,XGBoost (Trader) + Random Forest (RF),3-1,GREEN,0.94,Base_Original
2026-07-12,SWEDEN 1,Vasteras SK,Degerfors,15.0,93.6,XGBoost (Trader) + Random Forest (RF),2-0,GREEN,0.94,Base_Original
2026-07-12,SWEDEN 1,GAIS,Elfsborg,17.5,94.9,XGBoost (Trader) + Random Forest (RF),1-0,GREEN,0.94,Base_Original
2026-07-12,BOLIVIA 1,Real Potosi,Nacional Potosi,13.5,91.9,XGBoost (Trader),1-1,GREEN,0.94,Base_Original
2026-07-12,BOLIVIA 1,The Strongest,Bolivar,16.0,91.7,XGBoost (Trader),1-1,GREEN,0.94,Base_Original
2026-07-12,BRAZIL 2,CRB,Goias,14.5,93.9,XGBoost (Trader),2-2,GREEN,0.94,Base_Original
